ID_CONTA	RESPOSTA	DIVIDA_FINAL	DT_ACORDO
36095	0	1641.34	2019-06-03
36147	0	2073.58	2019-03-22
57225	0	21104.61	2019-03-22
67708	0	8060.43	2019-03-22
68690	0	17756.65	2019-06-03
68728	0	29256.94	2019-06-03
69176	1	7325.16	2018-11-22
70189	0	4073.87	2019-06-03
71776	0	12374.51	2019-03-22
71914	0	11077.87	2019-03-22
73229	0	673.29	2018-11-22
74709	0	3016.09	2019-06-03
74724	0	7715.71	2019-06-03
75096	0	648	2019-03-20
75769	0	22007.27	2019-06-03
76451	0	4854.97	2019-06-03
76877	0	670.93	2019-03-20
77530	0	5472.55	2019-06-03
79084	0	5750.03	2019-06-03
79166	0	2245.71	2019-06-03
80031	0	3783.34	2019-06-03
80272	0	2455.08	2019-06-03
82735	1	4469.36	2018-11-22
83544	0	1422.2	2019-03-20
83736	0	1610.28	2019-03-22
84696	0	13509.44	2019-06-03
84997	0	502.69	2019-03-20
85381	0	6727.57	2019-06-03
85634	0	21500	2019-03-22
85702	0	9932.83	2019-06-03
85876	0	3160.38	2019-06-03
86062	0	1219.27	2019-06-03
88202	0	2754.16	2018-11-22
88531	0	10911.97	2019-03-22
89108	0	13431.85	2019-06-03
89473	0	6648.3	2019-06-03
89539	0	3622.02	2019-06-03
89573	0	5014.43	2019-06-03
90469	0	3725.7	2019-03-22
90544	0	6516.75	2019-03-20
90581	0	4329.12	2019-06-03
91616	0	3639.53	2019-06-03
91616	1	2702.46	2018-11-22
96411	0	3159.65	2019-06-03
99285	0	627.94	2018-11-22
101194	0	906.57	2019-03-20
101321	0	6771.06	2019-06-03
101814	0	12058.76	2019-03-22
102003	0	2028.52	2019-06-03
102564	0	2497.44	2019-06-03
102693	0	5568.06	2019-06-03
102811	0	11218.45	2019-06-03
104004	0	1156.87	2019-06-03
104769	0	3053.27	2019-06-03
104794	0	794.15	2019-06-03
105499	0	1010.12	2019-03-22
105621	0	7916.16	2018-11-22
105621	1	9878.18	2019-03-21
107075	0	5951.15	2019-06-03
107632	0	19625.36	2019-06-03
108711	0	9574.17	2019-06-03
108714	0	1464.37	2019-06-03
108841	0	14060.93	2019-06-03
109190	0	13019.91	2019-06-03
109336	0	854.2	2019-03-20
109402	0	33790.58	2019-06-03
110329	0	1927.75	2019-06-03
110596	0	3982.71	2019-03-22
113215	0	1790.33	2019-06-03
113274	0	14220.07	2019-06-03
113384	0	5013.61	2019-06-03
113601	0	4766.66	2019-06-03
115964	0	1803.18	2019-03-20
116019	0	6869.82	2019-06-03
116667	0	2717.62	2019-06-03
117046	0	7731.4	2019-06-03
117060	0	916.62	2019-06-03
117064	0	20741.76	2019-06-03
117090	0	2189.15	2019-06-03
118476	0	1883.91	2019-06-03
118834	0	3994.98	2019-03-22
119112	0	4167.11	2019-06-03
119523	0	2981.96	2019-06-03
119637	0	29436.17	2019-06-03
120652	0	1168.13	2019-06-03
120796	0	3713.67	2019-06-03
120886	0	1290.01	2019-06-03
121010	0	3325.69	2019-06-03
121708	0	7807.85	2019-06-03
